stationId,stationName,observationTime,NFDRType,fuelModelType,oneHR_TL_FuelMoisture,tenHR_TL_FuelMoisture,hundredHR_TL_FuelMoisture,thousandHR_TL_FuelMoisture,kbdi,gsi,woodyLFI_fuelMoisture,herbaceousLFI_fuelMoisture,ignitionComponent,energyReleaseComponent,spreadComponent,burningIndex
40501,BIG BAR,2025-06-05,O,Z,3.74,7.16,10.11,12.16,436,0.07,60.00,30.00,43.58,96.72,8.19,64.86
40518,BACKBONE,2025-06-05,O,V,5.24,4.92,8.02,9.47,296,0.81,146.22,165.49,13.78,1.71,7.82,9.79
40518,BACKBONE,2025-06-05,O,W,5.24,4.92,8.02,9.47,296,0.81,146.22,165.49,17.15,6.02,6.95,16.76
40518,BACKBONE,2025-06-05,O,X,5.24,4.92,8.02,9.47,296,0.81,146.22,165.49,27.39,60.90,33.01,97.03
40518,BACKBONE,2025-06-05,O,Y,5.24,4.92,8.02,9.47,296,0.81,146.22,165.49,43.48,63.03,3.65,36.59
40518,BACKBONE,2025-06-05,O,Z,5.24,4.92,8.02,9.47,296,0.81,146.22,165.49,39.53,126.08,14.30,87.15
40632,ARBUCKLE BASIN,2025-06-05,O,V,5.65,4.88,7.01,8.04,385,0.61,90.62,30.00,43.45,5.01,124.53,48.28
40632,ARBUCKLE BASIN,2025-06-05,O,W,5.65,4.88,7.01,8.04,385,0.61,90.62,30.00,35.12,10.58,43.16,43.86
40632,ARBUCKLE BASIN,2025-06-05,O,X,5.65,4.88,7.01,8.04,385,0.61,90.62,30.00,44.44,85.76,116.03,180.63
40632,ARBUCKLE BASIN,2025-06-05,O,Y,5.65,4.88,7.01,8.04,385,0.61,90.62,30.00,47.71,70.78,5.17,43.67
40632,ARBUCKLE BASIN,2025-06-05,O,Z,5.65,4.88,7.01,8.04,385,0.61,90.62,30.00,48.05,137.10,22.79,112.22
40703,BOGARD R.S.,2025-06-05,O,V,6.67,8.35,11.72,13.26,181,0.00,60.00,30.00,17.35,5.50,23.94,27.28
40703,BOGARD R.S.,2025-06-05,O,W,6.67,8.35,11.72,13.26,181,0.00,60.00,30.00,15.72,7.56,11.28,22.85
40703,BOGARD R.S.,2025-06-05,O,X,6.67,8.35,11.72,13.26,181,0.00,60.00,30.00,21.07,75.93,34.00,110.71
40703,BOGARD R.S.,2025-06-05,O,Y,6.67,8.35,11.72,13.26,181,0.00,60.00,30.00,23.17,41.21,1.86,22.11
40703,BOGARD R.S.,2025-06-05,O,Z,6.67,8.35,11.72,13.26,181,0.00,60.00,30.00,19.47,82.23,5.31,49.20
40725,BLUE DOOR,2025-06-05,O,V,5.38,6.13,10.47,11.55,79,0.50,100.71,93.98,32.15,4.78,63.24,38.90
40725,BLUE DOOR,2025-06-05,O,W,5.38,6.13,10.47,11.55,79,0.50,100.71,93.98,25.87,7.45,23.52,31.50
40725,BLUE DOOR,2025-06-05,O,X,5.38,6.13,10.47,11.55,79,0.50,100.71,93.98,34.50,71.07,70.17,148.84
40725,BLUE DOOR,2025-06-05,O,Y,5.38,6.13,10.47,11.55,79,0.50,100.71,93.98,37.76,48.56,3.69,32.74
40725,BLUE DOOR,2025-06-05,O,Z,5.38,6.13,10.47,11.55,79,0.50,100.71,93.98,37.57,96.54,15.22,86.17
40728,BULL FLAT,2025-06-05,O,V,3.49,4.85,7.82,9.33,154,0.81,145.72,51.65,42.63,4.43,41.66,32.91
40728,BULL FLAT,2025-06-05,O,W,3.49,4.85,7.82,9.33,154,0.81,145.72,51.65,32.28,6.47,13.71,22.83
40728,BULL FLAT,2025-06-05,O,X,3.49,4.85,7.82,9.33,154,0.81,145.72,51.65,44.35,63.39,43.42,113.38
40728,BULL FLAT,2025-06-05,O,Y,3.49,4.85,7.82,9.33,154,0.81,145.72,51.65,61.91,62.30,4.07,38.12
40728,BULL FLAT,2025-06-05,O,Z,3.49,4.85,7.82,9.33,154,0.81,145.72,51.65,62.73,123.41,15.87,97.03
40731,BLACKS MOUNTAIN,2025-06-05,O,V,6.17,7.14,10.76,12.03,238,0.00,60.00,30.00,17.87,6.00,18.52,25.92
40731,BLACKS MOUNTAIN,2025-06-05,O,W,6.17,7.14,10.76,12.03,238,0.00,60.00,30.00,16.67,8.21,9.25,21.69
40731,BLACKS MOUNTAIN,2025-06-05,O,X,6.17,7.14,10.76,12.03,239,0.00,60.00,30.00,22.51,79.03,28.29,103.69
40731,BLACKS MOUNTAIN,2025-06-05,O,Y,6.17,7.14,10.76,12.03,239,0.00,60.00,30.00,25.85,46.17,1.79,22.75
40731,BLACKS MOUNTAIN,2025-06-05,O,Z,6.17,7.14,10.76,12.03,239,0.00,60.00,30.00,21.39,91.17,4.67,47.83
41001,BOONVILLE,2025-06-05,O,V,8.78,10.48,14.59,15.61,427,0.96,188.28,231.59,1.99,0.11,0.54,0.84
41001,BOONVILLE,2025-06-05,O,W,8.78,10.48,14.59,15.61,427,0.96,188.28,231.59,8.79,1.82,6.16,9.09
41001,BOONVILLE,2025-06-05,O,X,8.78,10.48,14.59,15.61,427,0.96,188.28,231.59,13.26,29.64,23.55,61.20
41001,BOONVILLE,2025-06-05,O,Y,8.78,10.48,14.59,15.61,427,0.96,188.28,231.59,27.86,34.75,5.42,33.40
41001,BOONVILLE,2025-06-05,O,Z,8.78,10.48,14.59,15.61,427,0.96,188.28,231.59,27.86,75.00,24.14,94.38
41101,ALDER SPRINGS,2025-06-05,O,V,7.16,5.63,8.58,9.76,218,0.12,60.00,30.00,17.81,5.04,23.94,27.29
41101,ALDER SPRINGS,2025-06-05,O,W,7.16,5.63,8.58,9.76,218,0.12,60.00,30.00,16.21,8.31,11.38,24.39
41101,ALDER SPRINGS,2025-06-05,O,X,7.16,5.63,8.58,9.76,218,0.12,60.00,30.00,21.69,79.04,34.15,114.01
41101,ALDER SPRINGS,2025-06-05,O,Y,7.16,5.63,8.58,9.76,218,0.12,60.00,30.00,23.15,55.60,1.87,25.44
41101,ALDER SPRINGS,2025-06-05,O,Z,7.16,5.63,8.58,9.76,218,0.12,60.00,30.00,20.08,104.56,5.35,55.11
41201,BANGOR,2025-06-05,O,V,6.04,5.44,10.55,13.03,426,0.79,141.52,158.10,16.67,1.92,13.16,13.30
41201,BANGOR,2025-06-05,O,W,6.04,5.44,10.55,13.03,426,0.79,141.52,158.10,20.13,6.75,11.02,21.84
41201,BANGOR,2025-06-05,O,X,6.04,5.44,10.55,13.03,426,0.79,141.52,158.10,28.53,63.90,37.14,107.45
41201,BANGOR,2025-06-05,O,Y,6.04,5.44,10.55,13.03,426,0.79,141.52,158.10,41.69,50.62,3.81,33.61
41201,BANGOR,2025-06-05,O,Z,6.04,5.44,10.55,13.03,426,0.79,141.52,158.10,39.43,113.61,12.96,85.82
42108,ATLAS PEAK,2025-06-05,O,V,11.22,10.48,11.42,12.45,401,0.00,60.00,30.00,16.23,2.03,100.35,34.73
42108,ATLAS PEAK,2025-06-05,O,W,11.22,10.48,11.42,12.45,401,0.00,60.00,30.00,15.79,3.14,54.52,31.99
42108,ATLAS PEAK,2025-06-05,O,X,11.22,10.48,11.42,12.45,401,0.00,60.00,30.00,16.84,56.87,194.15,214.19
42108,ATLAS PEAK,2025-06-05,O,Y,11.22,10.48,11.42,12.45,401,0.00,60.00,30.00,16.73,37.45,5.39,34.42
42108,ATLAS PEAK,2025-06-05,O,Z,11.22,10.48,11.42,12.45,401,0.00,60.00,30.00,16.84,66.75,26.09,92.60
42202,BROOKS,2025-06-05,O,V,6.19,5.91,9.58,11.50,423,0.00,60.00,30.00,33.32,5.98,67.75,45.38
42202,BROOKS,2025-06-05,O,W,6.19,5.91,9.58,11.50,423,0.00,60.00,30.00,27.67,9.04,26.83,36.89
42202,BROOKS,2025-06-05,O,X,6.19,5.91,9.58,11.50,423,0.00,60.00,30.00,36.34,82.58,77.60,167.89
42202,BROOKS,2025-06-05,O,Y,6.19,5.91,9.58,11.50,423,0.00,60.00,30.00,32.74,48.03,3.03,29.74
42202,BROOKS,2025-06-05,O,Z,6.19,5.91,9.58,11.50,423,0.00,60.00,30.00,32.99,95.29,11.68,75.85
